country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Madagascar,1160,1080,1100,1120,1100,1110,1130,1160,1180,1220,1270,1340,1150,1250,1320,1370,1440,1550,1640,1530,1510,1530,1490,1490,1520,1500,1550,1540,1590,1630,1500
Maldives,,,,,,5870,6340,6830,7310,7720,8060,7880,8380,9350,9970,8700,11k,10.4k,11.7k,10.8k,11.2k,12.1k,12.4k,13.1k,14.5k,15.4k,16k,16.6k,17.5k,18.3k,12.4k
Mexico,7870,8370,8750,8360,8800,8170,8770,9470,9920,10.2k,10.8k,10.9k,11k,11.3k,11.9k,12.4k,13.6k,14.1k,14.7k,14.3k,15.1k,16.3k,16.8k,16.9k,17.6k,17.8k,18.8k,19.2k,19.6k,19.3k,17.8k
Marshall Islands,,,,,,3420,2990,2880,3000,3070,3180,3400,3430,3380,3440,3680,3650,3880,3580,3770,3910,3950,3730,4070,4270,4710,4640,4770,4990,5190,5060
North Macedonia,5460,5340,4990,4780,4840,4900,5020,5150,5370,5620,6040,6010,6320,6520,7130,7710,8660,8910,10.4k,10.9k,11.2k,11.5k,11.7k,12.4k,13.2k,13.4k,14.5k,15.1k,16.1k,16.7k,16.3k
Mali,800,910,880,900,920,920,980,1020,1080,1130,1120,1240,1240,1370,1390,1480,1540,1580,1640,1650,1720,1760,1700,1750,1860,1990,2130,2170,2270,2330,2250
Malta,9720,10.3k,10.7k,11.3k,11.8k,12.7k,13.2k,14k,14.3k,15.3k,17.7k,18.6k,19.8k,20.9k,21.5k,21.6k,22.4k,23.8k,26.1k,25.3k,27.2k,28.3k,28.8k,30.7k,32.6k,35.4k,36k,38.3k,41k,42.4k,38.6k
Myanmar,360,360,410,460,500,540,590,630,670,730,810,880,950,1100,1280,1410,1680,1990,2260,2520,2830,3120,3420,3650,3850,3940,3900,4110,4440,4770,4980
Montenegro,,,,,,,,,,,6310,7110,7500,7770,8250,8410,10.6k,12.6k,14k,13.1k,13.5k,14.6k,14.1k,15.2k,15.6k,16.7k,18.4k,20.1k,21.8k,23.3k,20.3k
Mongolia,3290,3100,2790,2700,2840,3070,3200,3350,3510,3640,3710,3880,4080,4390,4940,5310,5910,6540,7090,6860,6970,8180,9440,9950,10.2k,9760,9850,9770,11.2k,11.6k,11.2k
Mozambique,,300,270,300,310,310,350,390,420,470,460,510,510,590,640,670,710,780,830,890,930,1000,1030,1080,1130,1270,1330,1250,1290,1310,1250
Mauritania,2550,2620,2660,2790,2690,2950,3250,3090,3140,3230,3070,2940,3100,3280,3420,3700,4210,4140,4120,4100,4040,4120,4140,4350,4130,4080,4610,5040,5290,5500,5320
Mauritius,4900,5290,5700,6040,6290,6650,7040,7520,7970,8210,9000,9490,9720,10.3k,11k,11.5k,12.5k,13.8k,14.6k,15k,15.6k,16.3k,17.6k,19.2k,19.9k,20.9k,22.4k,23.5k,25.5k,26.8k,22.4k
Malawi,660,720,680,760,690,820,880,910,930,940,960,910,910,960,1010,1050,1110,1220,1300,1370,1430,1490,1440,1540,1500,1410,1450,1440,1480,1560,1550
Malaysia,6520,7130,7720,8520,9260,10.2k,11.1k,11.7k,10.7k,11.1k,11.9k,12k,12.7k,13.6k,14.7k,15.7k,17k,18.4k,19.1k,18.8k,19.9k,21.2k,22.1k,22.7k,23.8k,24.1k,24.8k,25.9k,27.4k,28.9k,27.4k
Namibia,3770,4170,4330,4250,4300,4570,4600,4760,4910,4920,5230,5280,5630,6080,6670,6750,7380,7670,7890,7810,8060,8590,8970,9710,10.4k,10.6k,10.2k,9990,9950,9980,9190
Niger,770,770,770,770,770,780,780,780,850,830,810,860,890,890,890,950,1000,1020,1070,1060,1120,1140,1200,1170,1190,1200,1190,1210,1290,1330,1230
Nigeria,1940,1970,2030,1930,1920,1960,2040,2090,2090,2140,2090,2290,2590,2730,2990,3180,3610,3750,3970,4180,4450,4650,4740,4970,5320,5280,5120,5030,5040,5180,5000
Nicaragua,1960,1790,1750,1770,1810,1990,2150,2270,2390,2550,2670,2750,2800,2890,3090,3310,3480,3720,3870,3710,3870,4150,4250,4390,4760,5090,5420,5690,5570,5470,5410
Netherlands,19k,20.1k,20.6k,21.4k,22.5k,23.8k,24.9k,26.3k,27.6k,29.7k,32.4k,33k,34.4k,34.5k,36k,37.1k,41.3k,43.9k,45.1k,44.1k,45.2k,47.3k,48.1k,49.9k,49.1k,50.3k,51.5k,55.5k,58.5k,59.3k,58.2k
Curaçao,,,,,,,,,,,,,,,,25.4k,25.9k,26.8k,26.9k,26.4k,26.8k,27.1k,26.5k,26.3k,25.9k,25.8k,25.4k,26.4k,26.5k,26.6k,22.2k
Norway,17.9k,18.9k,20.2k,21.1k,22.6k,24.1k,26.5k,28.3k,27.9k,30.3k,36.4k,37.8k,38.1k,38.8k,42.6k,48.3k,54.2k,55.8k,61.4k,55.7k,58.5k,62.7k,65.9k,67.7k,68k,62.9k,61.5k,66.4k,72.4k,68.8k,65.5k
Nepal,860,920,960,990,1060,1100,1150,1200,1220,1270,1360,1430,1430,1490,1580,1670,1770,1860,1990,2080,2190,2300,2520,2720,2990,3040,3030,3600,3890,4160,4060
Nauru,,,,,,,,,,,,,,,,,,4930,5500,6310,7200,8150,9110,12.3k,15.4k,18k,18.6k,18.2k,18.7k,20.7k,20.5k
New Zealand,14.2k,13.6k,14k,14.8k,15.9k,16.8k,17.1k,18k,18.5k,19.4k,20.3k,21.4k,22.1k,22.8k,23.7k,24k,25.9k,27.3k,27.7k,29.4k,29.7k,31.2k,31.6k,34.8k,35.8k,36.2k,38.7k,40.7k,41k,44.3k,43k
Oman,25.6k,27.1k,28.3k,29.4k,30.1k,31.5k,32.5k,34.8k,36k,36.4k,39.4k,41.4k,40.9k,40.5k,41.4k,42k,45k,46.8k,48.7k,49.1k,41.4k,46.9k,48.2k,46.4k,42.3k,34.8k,32.3k,32k,31.4k,30.3k,28.9k
Pakistan,1890,1990,2130,2150,2220,2310,2400,2390,2400,2470,2560,2630,2670,2830,3060,3290,3510,3680,3730,3770,3820,3940,3960,4040,4170,4300,4330,4500,4770,4800,4710
Panama,4840,5240,5750,6190,6430,6380,6790,7120,7510,7660,7990,8040,8410,8420,9040,9780,10.7k,12.3k,13.5k,13.6k,14k,16k,17.4k,19.5k,20.9k,23.7k,25.8k,28.6k,29.6k,30.6k,25.9k
Peru,3150,3390,3370,3540,3970,4260,4430,4730,4730,4790,4930,5040,5310,5520,5780,6200,6680,7410,8250,8390,9020,9700,10.1k,10.7k,11k,11.2k,11.5k,11.9k,12.4k,12.8k,11.5k
Philippines,2610,2650,2690,2760,2910,3040,3230,3430,3660,3730,3760,3890,4010,4200,4500,4800,5090,5460,5730,5880,6260,6500,6990,7390,7760,8010,8560,9020,9650,10.2k,9040
Palau,,,,,,,,,,,11.1k,12k,12.5k,11.9k,12.5k,13.6k,14.3k,15.5k,15.3k,14.2k,14.7k,16.2k,16.9k,16.7k,17.9k,19.4k,19.7k,18.9k,19.4k,19.1k,16.6k
Papua New Guinea,1400,1560,1710,2020,2160,2100,2200,2140,2020,2020,2000,1970,1970,1950,2050,2230,2250,2490,2520,2590,2820,2780,3040,3050,3700,3890,4100,4200,4180,4290,4240
Poland,5860,5720,5920,6310,6870,7570,8220,8870,9420,9980,10.6k,11.1k,11.8k,12.2k,12.9k,13.7k,14.8k,16.2k,18k,18.7k,20.3k,22k,22.9k,23.7k,24.5k,25.9k,27.2k,28.8k,30.6k,32.4k,33k
Puerto Rico,9480,9950,10.2k,10.8k,11.3k,11.8k,12.2k,13k,13.3k,14.4k,15.4k,15.8k,16k,16.5k,18.7k,19.2k,19.8k,20.7k,20.6k,20.2k,20.2k,20.8k,21.8k,22.3k,22.6k,22.9k,23k,22.9k,23.6k,24.5k,23.4k
Portugal,11.8k,12.8k,13.3k,13.3k,13.6k,14.5k,15k,15.8k,16.6k,17.7k,18.6k,19.2k,20.1k,20.6k,21.2k,22.4k,24k,25k,25.8k,25.6k,26.4k,26.3k,25.8k,27.6k,28.1k,28.9k,30.8k,32.3k,34.1k,35.2k,33.6k
Paraguay,,,,,,6020,6420,6430,6380,6230,5820,5890,6040,5850,6260,6530,7180,8020,8690,8590,9520,10.1k,9580,10.6k,11k,11.1k,11.6k,12.2k,12.7k,12.8k,12.7k
Palestine,,,,,2470,2600,2540,2870,3340,3570,3100,2710,2310,2610,3150,3590,3600,3800,4030,4200,4360,4780,5610,5810,6090,6680,7080,7250,7580,7660,6620
Qatar,,,,,,,,,,,89.2k,95.1k,98.7k,101k,106k,95.8k,114k,116k,118k,111k,118k,128k,132k,131k,123k,90.9k,82.5k,91.5k,91.3k,91.4k,88.1k
Romania,5260,4800,4500,4670,4970,5390,5700,5510,5480,5530,5810,6480,7090,7380,8610,9320,11.2k,13k,16.4k,16.4k,16.8k,17.7k,18.5k,19.5k,20.6k,21.4k,23.9k,26.8k,28.8k,31.4k,31.6k
Russia,8010,7840,6800,6350,5710,5570,5440,5580,5230,5680,6650,7260,7880,8970,10k,11.5k,14.5k,16.3k,19.6k,18.8k,19.9k,22.1k,23.6k,25.2k,24.9k,23.4k,23.5k,25.2k,28.1k,29k,29.1k
Rwanda,550,570,660,660,350,500,550,600,610,600,630,670,750,770,830,930,1020,1100,1210,1270,1340,1440,1470,1520,1670,1770,1830,1910,2060,2240,2160
Saudi Arabia,33.3k,37.6k,38.5k,38.1k,37.7k,38k,38.4k,38.7k,39.9k,38.3k,40.1k,39.6k,37.9k,41.6k,44.9k,47.5k,49k,50.1k,53k,50.9k,52.2k,56.9k,58.2k,56.9k,56.9k,49.9k,46.6k,48k,49.2k,49.4k,47.8k
Sudan,1510,1530,1660,1780,1840,1950,2100,2330,2380,2400,2520,2700,2810,2960,3110,3310,3510,3730,3810,3700,3620,3930,3600,3590,4340,4330,4660,4410,4210,4080,3860
Senegal,1510,1560,1580,1580,1560,1650,1690,1730,1810,1900,1970,2060,2030,2140,2250,2360,2430,2500,2580,2580,2630,2630,2690,2700,2780,2910,3000,3110,3300,3410,3420
Singapore,23.6k,25.1k,27k,29.4k,33.1k,35.4k,36.6k,40.1k,38.2k,40.5k,43.6k,42.9k,44.2k,47.5k,51k,55.4k,62.2k,66.8k,65.1k,62.7k,74.5k,77.3k,78.4k,78.5k,81.5k,81k,83.8k,88.1k,88.9k,90.3k,86.5k
Solomon Islands,1340,1410,1590,1670,1800,1960,1970,1930,1920,1850,1620,1500,1410,1500,1630,1730,1770,1800,1850,1880,2060,2160,2240,2460,2430,2400,2470,2610,2730,2740,2680
Sierra Leone,690,750,600,660,620,630,670,640,630,630,670,620,770,820,860,890,930,1070,1150,1180,1150,1190,1450,1740,1750,1570,1420,1590,1580,1750,1690
El Salvador,2850,2950,3210,3440,3640,3860,3910,4050,4170,4240,4370,4480,4570,4670,4810,5070,5460,5690,5930,5770,5950,6270,6270,6570,6900,7240,7620,7980,8320,8690,7970
Somalia,,,,,,,,,,,,,,,,,,,,,,,,810,930,1080,1130,1070,1150,1230,1240
Serbia,,,,,,,,5720,6000,5530,6020,6490,7200,7600,8420,9070,10.1k,10.9k,12.3k,12.3k,12.5k,13.2k,13.5k,14.1k,14.1k,14.2k,15k,15.5k,16.8k,17.8k,18.5k
South Sudan,,,,,,,,,,,,,,,,,,,,,,1630,1460,1980,1280,1080,,,,,
Sao Tome and Principe,,,,,,,,,,,,1770,1810,1950,2030,2200,2520,2620,2720,2730,2890,3010,2900,3350,3880,3820,3900,3940,4090,4160,4250
Suriname,6590,6870,6930,6450,6730,6790,6860,7170,7340,7160,7340,7240,8020,8590,9430,10.2k,11k,11.9k,12.6k,12.9k,13.2k,13.6k,15.2k,16.4k,17k,17.2k,14.3k,16.3k,17.6k,17.8k,14k
Slovak Republic,,,,,,8740,9490,10.1k,10.6k,10.7k,11.3k,12.4k,13.3k,13.5k,14.6k,16.2k,18.4k,20.6k,23.3k,23k,24.8k,25.2k,26.4k,27.7k,28.6k,29.2k,28.9k,29.5k,30.8k,31.4k,31k
Slovenia,,,,,,13.7k,14.3k,15.3k,16k,17.1k,18k,18.9k,20.1k,20.9k,22.4k,23.6k,25.4k,26.9k,28.8k,27.1k,27.5k,28.5k,28.6k,29.6k,30.6k,30.6k,33.1k,35.9k,38.4k,40.1k,39.4k
Sweden,19.9k,20.1k,19.9k,19.8k,21.2k,22.4k,23.3k,24.2k,25.3k,27.4k,29.6k,29.9k,31k,32.4k,34k,34.7k,38.7k,42.1k,43.6k,41.2k,43.4k,45.5k,46.5k,47.4k,48.2k,49.5k,50.7k,52.9k,54.5k,56.2k,56.7k
Eswatini,3700,3820,3940,3950,3860,4290,4590,4720,4620,4850,4810,5160,5110,5280,5710,6560,6770,7270,7320,7300,7380,7570,7730,8330,8430,8470,8240,7840,8130,8110,7980
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,31.4k,33k,36.5k,32.5k,32.6k,38.4k,37.9k,38.2k,37.1k,35.2k,,
Seychelles,8640,9120,10k,10.7k,10.7k,10.3k,11k,12.5k,13.2k,13.3k,13.5k,13.8k,12.8k,12.9k,13.9k,15.6k,17.2k,17.9k,17.2k,17.4k,18.4k,19.5k,20.4k,21.2k,22.4k,22.6k,23.7k,25.2k,27.5k,27.7k,24.1k
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,22.1k,24.1k,26.4k,26.6k,28k,29.6k,
Chad,690,760,810,660,730,740,740,760,810,780,760,830,870,840,1120,1310,1300,1370,1350,1570,1760,1750,1690,1500,1600,1760,1630,1570,1590,1620,1470
Togo,820,820,790,670,740,810,890,1000,970,960,950,960,990,1050,1040,990,1020,1010,1050,1090,1140,1280,1230,1280,1340,1440,1970,2010,2120,2220,2230
Thailand,4250,4710,5110,5650,6170,6730,7120,6930,6330,6700,7160,7430,7890,8500,9190,9800,10.6k,11.5k,11.8k,11.8k,12.6k,13.2k,14.2k,14.4k,14.7k,15k,15.8k,16.6k,17.6k,18.5k,17.7k
Tajikistan,2640,2480,1770,1490,1010,1000,800,860,910,940,1000,1100,1240,1360,1540,1960,2250,2540,2780,2640,2880,3180,3510,3980,4090,3730,3600,3730,4050,4330,4500
Turkmenistan,,,,4470,3740,3410,3630,3270,3460,4000,4120,4420,4450,4680,4980,5420,6190,7210,8100,8460,8990,10.2k,10.9k,11.6k,12.3k,12.9k,13.5k,13.6k,14.6k,15.6k,
Timor-Leste,,,,,,,,,,,1760,1930,2190,1770,2040,2500,3790,5320,8240,6190,7310,9050,8730,7390,6270,5100,4230,4500,4530,5040,5190
Tonga,2280,2490,2530,2670,2960,3160,3280,3370,3540,3670,3700,3860,4150,4240,4250,4300,4480,4560,4840,4670,4760,5190,5380,5520,5680,5830,6230,6720,6960,7180,7260
Trinidad and Tobago,6500,6850,7670,7870,8160,8710,9310,10.4k,11.5k,12.6k,13.4k,14.5k,15.9k,18.4k,20.9k,22.3k,25.9k,27.9k,29.3k,27.8k,29k,27.5k,27.4k,28.3k,27.9k,26.9k,26k,26.5k,26.1k,26.7k,24.8k
Tunisia,3670,3830,4110,4150,4320,4470,4780,5090,5350,5690,6000,6320,6460,6860,7410,7760,8380,9030,9460,9790,10.2k,10.1k,10.3k,10.3k,10.7k,10.5k,10.7k,10.9k,11.3k,11.4k,10.6k
Turkey,8430,8640,9220,10k,9480,10.3k,11k,11.8k,9000,8650,9490,9050,9220,9530,10.8k,11.9k,13.6k,14.8k,16k,15.4k,17.4k,19.6k,20.6k,22.2k,23.9k,25.5k,26.2k,27.6k,27.5k,26.4k,26.9k
Tuvalu,,,,,,,,,,,,4730,5840,4050,4460,4400,4410,5150,5120,5260,4690,4750,4050,5030,4420,5670,5640,5570,6080,6160,6430
Tanzania,930,950,950,950,960,990,1040,1060,1090,1130,1180,1230,1320,1390,1490,1600,1730,1830,1920,1980,2050,2190,2070,2160,2210,2300,2420,2470,2620,2810,2760
Uganda,670,700,710,770,810,900,970,1020,1050,1110,1130,1170,1260,1320,1400,1480,1640,1780,1910,1990,2050,2220,1970,1970,2040,2090,2060,2030,2110,2220,2260
Ukraine,7800,7330,6590,5650,4540,4090,3780,3760,3740,3790,3990,4550,4920,5550,6440,6880,7620,8590,8940,7640,8240,8790,9600,10.9k,10.6k,10.6k,11.3k,12k,12.8k,13.5k,13.4k
Uruguay,6170,6640,7310,7640,8300,8310,8880,9800,10.3k,10.3k,10.2k,10k,9480,9290,10k,11.3k,12.1k,13.3k,14.3k,15k,16.2k,17.4k,16.8k,18.1k,18.8k,19.3k,21.4k,21.7k,22.3k,22.9k,21.6k
United States,23.6k,24.1k,25.1k,25.9k,27.3k,28.4k,29.9k,31.5k,33.1k,34.7k,36.8k,37.7k,38.4k,39.8k,42.1k,44.5k,47.1k,48.3k,48.4k,47k,49k,50.9k,53.1k,54.4k,56.7k,58.2k,58.9k,61.2k,64.1k,66.1k,64.2k
Uzbekistan,,,2360,2320,2200,2190,2220,2310,2410,2520,2620,2750,2880,3030,3330,3640,3960,4590,5090,5300,5560,5950,6130,6410,6580,6790,6860,6970,7460,7750,7710
St. Vincent and the Grenadines,3660,3710,4010,4390,4380,4830,5030,5260,5530,5690,5920,6210,6700,7250,7680,8130,9130,9800,10.2k,10.2k,9960,10.1k,10.4k,10.8k,10.8k,11.4k,12.4k,12.2k,12.7k,12.9k,12.7k
Venezuela,9440,10.5k,10.9k,11k,10.7k,11.2k,11.2k,11.8k,11.7k,11.1k,11.6k,12k,10.8k,9960,11.8k,13.4k,15.1k,16.9k,17.8k,16.9k,16.5k,17.1k,,,,,,,,,
Vietnam,860,930,1030,1120,1240,1390,1510,1630,1710,1810,1960,2110,2250,2420,2640,2910,3160,3420,3650,3780,4050,4330,4840,5130,5470,5720,6120,6610,7270,7840,8150
Vanuatu,1670,1530,1520,1520,1620,1650,1740,1850,2030,2060,2120,2110,1930,1990,2060,2150,2400,2470,2710,2660,2670,2760,2660,2770,2920,2880,2980,3090,3260,3530,3320
Samoa,1690,1680,,,,,,,,,,,3720,3920,4210,4460,4680,5100,5210,5040,5200,5440,5290,5310,5350,5700,6180,6290,6310,6620,6510
Yemen,2050,2090,2220,2260,2340,2360,2320,2400,2590,2550,2720,2840,2890,2930,3010,3190,3410,3520,3590,3750,3920,3350,3340,3520,,,,,,,
South Africa,6830,6890,6750,6840,7060,7270,7560,7750,7740,7920,8320,8560,8960,9260,9890,10.6k,11.4k,12k,12.5k,12.3k,12.7k,13.1k,12.9k,13.3k,13.3k,13.4k,13.4k,13.5k,13.8k,13.9k,13.1k
Zambia,1350,1320,1310,1430,1320,1360,1440,1480,1440,1510,1570,1660,1720,1840,1900,2020,2150,2280,2530,2850,2970,3160,3360,3430,3470,3360,3300,3330,3550,3550,3360
Zimbabwe,1740,1850,1680,1710,1870,1890,2110,2170,2220,2230,2190,2270,2110,1780,1710,1650,1620,1580,1290,1510,1810,2070,2340,2520,2570,2630,2750,3730,3950,3710,3420
