country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Barbados,9360,9290,8970,9180,9510,9810,10.3k,11k,11.5k,11.6k,12.3k,12.2k,12.4k,12.8k,13.4k,14.1k,15.1k,16.1k,16.3k,15.7k,15.7k,15.3k,14.7k,14.7k,14.5k,14.8k,15.2k,15.1k,15.3k,15.7k,12.8k
Brunei,55.9k,57.9k,60.3k,60.2k,61.7k,64.2k,65.5k,64.2k,63.1k,64.5k,66.4k,68.3k,70.7k,72.8k,73.8k,75.2k,79.8k,81.4k,80.3k,78.7k,79.7k,81.7k,86.1k,82.9k,81.3k,65.7k,60.4k,64.6k,62.2k,66.5k,67.6k
Bhutan,1460,1450,1500,1600,1770,1820,1960,2120,2060,2140,2690,2920,3180,3400,3640,4000,4390,5230,5450,5730,6310,6830,7280,7430,8050,8820,9560,10.2k,10.6k,11.3k,10.4k
Botswana,5310,5990,6210,6590,5990,6710,6730,7430,7800,7870,7930,8290,7800,8500,8690,9440,10.4k,11.4k,12.1k,11.6k,12.2k,13.4k,12.9k,13.5k,15.8k,14.9k,16.8k,16.1k,16.7k,17k,15.5k
Central African Republic,630,630,590,580,600,640,610,640,660,690,660,700,720,680,720,740,780,830,840,910,960,1020,1110,750,730,800,860,960,1030,1060,1020
Canada,,,,,,,,24.5k,25.4k,26.9k,28.6k,29.4k,30.2k,31.6k,33.2k,35.6k,37.5k,39k,39.8k,38.2k,39.3k,40.9k,41.5k,43.6k,45k,44k,45.9k,47.7k,49.1k,48.7k,46k
Switzerland,,,,,,31.5k,32.3k,34.1k,35.5k,36.7k,39.1k,39.3k,39.8k,41.3k,42.7k,45.1k,49.8k,51.4k,50.6k,54.2k,57.9k,58.5k,61.1k,63.4k,64.2k,66.8k,67.8k,68.2k,68.8k,69.4k,69.2k
Chile,4260,4690,5380,5900,6260,7060,7740,8360,8780,8700,9200,9630,9920,10.2k,10.8k,11.6k,13.8k,15.1k,15.2k,15.1k,16.9k,18.9k,20.4k,21.3k,21.9k,22k,22.7k,23.5k,24.6k,24.5k,24k
China,980,1100,1260,1450,1660,1830,2030,2240,2410,2620,2890,3160,3500,3910,4410,5020,5830,6830,7620,8290,9210,10.2k,11.1k,11.8k,12.5k,12.8k,13.4k,14.2k,15.4k,16.6k,17.1k
Cote d'Ivoire,2480,2510,2490,2450,2490,2640,1850,1970,2020,2050,1920,1890,1860,1800,1910,2120,2180,2220,2350,2410,2530,2310,2540,2700,4240,4550,4620,4690,4960,5290,5300
Cameroon,1880,1780,1730,1590,1610,1640,1690,1750,1820,1890,1910,1970,2060,2200,2380,2440,2570,2650,2720,2770,2790,2860,2910,3070,3290,3350,3470,3600,3730,3820,3780
"Congo, Dem. Rep.",,,,,500,490,520,490,480,440,440,410,430,450,470,500,530,550,560,580,610,640,630,690,780,840,940,1030,1080,1110,1110
"Congo, Rep.",2930,3040,3220,2960,2930,2150,2190,2620,2810,2510,2710,2780,2930,2990,2870,3310,3980,3650,3990,4570,4970,4890,5990,5930,6020,4610,3690,3640,3430,3130,3060
Colombia,4810,5000,5230,5580,5970,6310,6420,6640,6660,6380,6550,6670,6830,7070,7540,8120,8800,9490,9830,9940,10.3k,11.1k,11.6k,12.3k,12.9k,13.1k,13.7k,13.9k,14.7k,15.3k,14.6k
Comoros,1580,1500,1640,1670,1570,1610,1580,1620,1620,1630,1800,1840,1860,1890,1930,2000,2070,2100,2160,2190,2250,2340,2510,2640,2720,2720,2880,3050,3140,3130,3130
Cape Verde,1070,1090,1210,1300,1540,1740,1920,2130,2360,2600,2960,3080,3200,3360,3740,4010,4380,5210,5560,5470,5440,5730,5570,5590,5460,5770,6100,6410,6860,7310,6220
Costa Rica,4800,5040,5500,5890,6210,6410,6490,6800,7130,7250,7480,7770,8030,8400,8910,9470,10.4k,11.5k,12.2k,11.8k,12.4k,13.1k,13.9k,14.5k,15.4k,16.4k,18.3k,19.3k,20.2k,21.1k,20.9k
Cayman Islands,,,,,,,,,,,,,,,,,,,,,59.9k,61.9k,42.5k,37.5k,36.4k,38.1k,40k,46.7k,51.3k,58.1k,54.1k
Cyprus,13.3k,13.5k,14.7k,14.8k,15.6k,16.2k,16.5k,16.8k,19.3k,18.5k,19.5k,21.2k,22.3k,23.3k,24.5k,26.3k,28.4k,30.8k,34.3k,33.8k,33k,34.2k,31.6k,30k,29.3k,31.6k,34.3k,37.2k,39.1k,40.3k,37k
